protocol,case_id,question_key,rater_config,Y_0_100
baseline,DEMO_CASE_001,Q1,cfg_01,14.67
baseline,DEMO_CASE_001,Q1,cfg_02,24.99
baseline,DEMO_CASE_001,Q1,cfg_03,8.54
baseline,DEMO_CASE_001,Q1,cfg_04,24.01
baseline,DEMO_CASE_001,Q1,cfg_05,0.0
baseline,DEMO_CASE_001,Q1,cfg_06,14.53
baseline,DEMO_CASE_001,Q2,cfg_01,1.52
baseline,DEMO_CASE_001,Q2,cfg_02,17.52
baseline,DEMO_CASE_001,Q2,cfg_03,3.94
baseline,DEMO_CASE_001,Q2,cfg_04,1.08
baseline,DEMO_CASE_001,Q2,cfg_05,1.91
baseline,DEMO_CASE_001,Q2,cfg_06,18.95
baseline,DEMO_CASE_001,Q3,cfg_01,27.52
baseline,DEMO_CASE_001,Q3,cfg_02,0.0
baseline,DEMO_CASE_001,Q3,cfg_03,22.85
baseline,DEMO_CASE_001,Q3,cfg_04,9.77
baseline,DEMO_CASE_001,Q3,cfg_05,19.7
baseline,DEMO_CASE_001,Q3,cfg_06,0.46
baseline,DEMO_CASE_001,Q4,cfg_01,1.09
baseline,DEMO_CASE_001,Q4,cfg_02,15.68
baseline,DEMO_CASE_001,Q4,cfg_03,3.88
baseline,DEMO_CASE_001,Q4,cfg_04,16.45
baseline,DEMO_CASE_001,Q4,cfg_05,13.69
baseline,DEMO_CASE_001,Q4,cfg_06,28.76
baseline,DEMO_CASE_001,Q5,cfg_01,10.09
baseline,DEMO_CASE_001,Q5,cfg_02,0.75
baseline,DEMO_CASE_001,Q5,cfg_03,21.84
baseline,DEMO_CASE_001,Q5,cfg_04,1.04
baseline,DEMO_CASE_001,Q5,cfg_05,31.26
baseline,DEMO_CASE_001,Q5,cfg_06,3.88
baseline,DEMO_CASE_001,Q6,cfg_01,16.59
baseline,DEMO_CASE_001,Q6,cfg_02,24.29
baseline,DEMO_CASE_001,Q6,cfg_03,30.31
baseline,DEMO_CASE_001,Q6,cfg_04,22.17
baseline,DEMO_CASE_001,Q6,cfg_05,4.23
baseline,DEMO_CASE_001,Q6,cfg_06,3.18
baseline,DEMO_CASE_001,Q7,cfg_01,22.28
baseline,DEMO_CASE_001,Q7,cfg_02,8.6
baseline,DEMO_CASE_001,Q7,cfg_03,2.31
baseline,DEMO_CASE_001,Q7,cfg_04,13.83
baseline,DEMO_CASE_001,Q7,cfg_05,1.34
baseline,DEMO_CASE_001,Q7,cfg_06,0.0
baseline,DEMO_CASE_001,Q8,cfg_01,8.25
baseline,DEMO_CASE_001,Q8,cfg_02,12.83
baseline,DEMO_CASE_001,Q8,cfg_03,0.73
baseline,DEMO_CASE_001,Q8,cfg_04,27.95
baseline,DEMO_CASE_001,Q8,cfg_05,10.73
baseline,DEMO_CASE_001,Q8,cfg_06,16.06
baseline,DEMO_CASE_001,Q9,cfg_01,0.0
baseline,DEMO_CASE_001,Q9,cfg_02,15.01
baseline,DEMO_CASE_001,Q9,cfg_03,0.0
baseline,DEMO_CASE_001,Q9,cfg_04,0.0
baseline,DEMO_CASE_001,Q9,cfg_05,6.13
baseline,DEMO_CASE_001,Q9,cfg_06,10.18
baseline,DEMO_CASE_001,Q10,cfg_01,3.41
baseline,DEMO_CASE_001,Q10,cfg_02,5.88
baseline,DEMO_CASE_001,Q10,cfg_03,5.86
baseline,DEMO_CASE_001,Q10,cfg_04,0.0
baseline,DEMO_CASE_001,Q10,cfg_05,0.0
baseline,DEMO_CASE_001,Q10,cfg_06,0.0
baseline,DEMO_CASE_001,Q11,cfg_01,0.0
baseline,DEMO_CASE_001,Q11,cfg_02,5.7
baseline,DEMO_CASE_001,Q11,cfg_03,0.0
baseline,DEMO_CASE_001,Q11,cfg_04,0.0
baseline,DEMO_CASE_001,Q11,cfg_05,0.0
baseline,DEMO_CASE_001,Q11,cfg_06,12.49
baseline,DEMO_CASE_001,Q12,cfg_01,0.0
baseline,DEMO_CASE_001,Q12,cfg_02,6.96
baseline,DEMO_CASE_001,Q12,cfg_03,8.05
baseline,DEMO_CASE_001,Q12,cfg_04,0.0
baseline,DEMO_CASE_001,Q12,cfg_05,9.39
baseline,DEMO_CASE_001,Q12,cfg_06,7.72
baseline,DEMO_CASE_001,Q13,cfg_01,3.56
baseline,DEMO_CASE_001,Q13,cfg_02,0.0
baseline,DEMO_CASE_001,Q13,cfg_03,11.9
baseline,DEMO_CASE_001,Q13,cfg_04,2.96
baseline,DEMO_CASE_001,Q13,cfg_05,7.99
baseline,DEMO_CASE_001,Q13,cfg_06,0.0
baseline,DEMO_CASE_001,Q14,cfg_01,8.82
baseline,DEMO_CASE_001,Q14,cfg_02,0.0
baseline,DEMO_CASE_001,Q14,cfg_03,0.0
baseline,DEMO_CASE_001,Q14,cfg_04,0.0
baseline,DEMO_CASE_001,Q14,cfg_05,2.88
baseline,DEMO_CASE_001,Q14,cfg_06,0.0
baseline,DEMO_CASE_001,Q15,cfg_01,0.0
baseline,DEMO_CASE_001,Q15,cfg_02,0.0
baseline,DEMO_CASE_001,Q15,cfg_03,4.08
baseline,DEMO_CASE_001,Q15,cfg_04,14.57
baseline,DEMO_CASE_001,Q15,cfg_05,0.0
baseline,DEMO_CASE_001,Q15,cfg_06,0.0
baseline,DEMO_CASE_002,Q1,cfg_01,13.43
baseline,DEMO_CASE_002,Q1,cfg_02,21.94
baseline,DEMO_CASE_002,Q1,cfg_03,27.07
baseline,DEMO_CASE_002,Q1,cfg_04,17.18
baseline,DEMO_CASE_002,Q1,cfg_05,11.88
baseline,DEMO_CASE_002,Q1,cfg_06,12.6
baseline,DEMO_CASE_002,Q2,cfg_01,11.54
baseline,DEMO_CASE_002,Q2,cfg_02,3.87
baseline,DEMO_CASE_002,Q2,cfg_03,1.47
