object_id,prompt_id,occasion_id,score
P01,T1,O1,54.0716
P01,T1,O2,53.0922
P01,T1,O3,55.4147
P01,T1,O4,54.1744
P01,T1,O5,51.8566
P01,T2,O1,54.5517
P01,T2,O2,54.1749
P01,T2,O3,53.8584
P01,T2,O4,52.4007
P01,T2,O5,54.2462
P01,T3,O1,56.2681
P01,T3,O2,56.2949
P01,T3,O3,57.3085
P01,T3,O4,54.3683
P01,T3,O5,56.0054
P01,T4,O1,57.0321
P01,T4,O2,56.1474
P01,T4,O3,55.5326
P01,T4,O4,52.5374
P01,T4,O5,54.8642
P01,T5,O1,57.954
P01,T5,O2,56.7549
P01,T5,O3,57.5339
P01,T5,O4,54.6241
P01,T5,O5,55.6416
P01,T6,O1,58.8423
P01,T6,O2,57.2478
P01,T6,O3,60.2032
P01,T6,O4,58.6328
P01,T6,O5,57.9309
P01,T7,O1,57.8612
P01,T7,O2,58.0888
P01,T7,O3,58.6665
P01,T7,O4,56.1319
P01,T7,O5,54.7006
P01,T8,O1,57.554
P01,T8,O2,54.286
P01,T8,O3,56.0248
P01,T8,O4,53.3918
P01,T8,O5,55.5879
P01,T9,O1,58.7993
P01,T9,O2,57.9232
P01,T9,O3,59.4614
P01,T9,O4,55.4322
P01,T9,O5,56.6117
P02,T1,O1,68.8882
P02,T1,O2,70.5386
P02,T1,O3,71.2216
P02,T1,O4,68.3055
P02,T1,O5,68.4059
P02,T2,O1,69.4515
P02,T2,O2,71.015
P02,T2,O3,70.1358
P02,T2,O4,70.3735
P02,T2,O5,69.4165
P02,T3,O1,73.9335
P02,T3,O2,72.9261
P02,T3,O3,70.1788
P02,T3,O4,72.5263
P02,T3,O5,68.1712
P02,T4,O1,69.0592
P02,T4,O2,69.897
P02,T4,O3,70.2854
P02,T4,O4,70.7145
P02,T4,O5,68.7164
P02,T5,O1,72.0347
P02,T5,O2,71.7448
P02,T5,O3,72.5309
P02,T5,O4,70.7377
P02,T5,O5,68.5989
P02,T6,O1,73.5646
P02,T6,O2,74.2251
P02,T6,O3,72.1158
P02,T6,O4,71.6664
P02,T6,O5,70.6034
P02,T7,O1,73.7589
P02,T7,O2,72.4249
P02,T7,O3,72.0805
P02,T7,O4,72.2062
P02,T7,O5,68.6764
P02,T8,O1,73.3727
P02,T8,O2,71.2395
P02,T8,O3,71.5518
P02,T8,O4,70.9906
P02,T8,O5,68.752
P02,T9,O1,74.4645
P02,T9,O2,70.2929
P02,T9,O3,74.5541
P02,T9,O4,72.1459
P02,T9,O5,68.958
P03,T1,O1,54.6211
P03,T1,O2,54.4539
P03,T1,O3,56.3713
P03,T1,O4,54.1034
P03,T1,O5,55.4271
P03,T2,O1,56.9469
P03,T2,O2,56.6447
P03,T2,O3,57.3177
P03,T2,O4,54.0458
P03,T2,O5,52.4153
P03,T3,O1,57.5996
P03,T3,O2,56.017
P03,T3,O3,59.0767
P03,T3,O4,57.2301
P03,T3,O5,53.995
P03,T4,O1,58.0178
P03,T4,O2,55.0107
P03,T4,O3,55.3621
P03,T4,O4,54.697
P03,T4,O5,55.6515
P03,T5,O1,58.0593
P03,T5,O2,55.8735
P03,T5,O3,56.3788
P03,T5,O4,56.893
P03,T5,O5,53.0535
P03,T6,O1,60.3703
P03,T6,O2,60.088
P03,T6,O3,60.5315
P03,T6,O4,56.8677
P03,T6,O5,57.5349
P03,T7,O1,58.7393
P03,T7,O2,56.9226
P03,T7,O3,58.8273
P03,T7,O4,57.1976
P03,T7,O5,55.885
P03,T8,O1,58.8791
P03,T8,O2,55.0367
P03,T8,O3,59.494
P03,T8,O4,55.4875
P03,T8,O5,56.0717
P03,T9,O1,58.3466
P03,T9,O2,58.0544
P03,T9,O3,58.6057
P03,T9,O4,56.1068
P03,T9,O5,57.4273
P04,T1,O1,66.0202
P04,T1,O2,64.64
P04,T1,O3,64.2655
P04,T1,O4,66.3027
P04,T1,O5,65.1493
P04,T2,O1,66.8889
P04,T2,O2,67.051
P04,T2,O3,66.0879
P04,T2,O4,66.6048
P04,T2,O5,62.5473
P04,T3,O1,66.7588
P04,T3,O2,66.4237
P04,T3,O3,68.515
P04,T3,O4,66.5472
P04,T3,O5,64.8903
P04,T4,O1,65.9025
P04,T4,O2,63.6116
P04,T4,O3,66.4866
P04,T4,O4,63.8433
P04,T4,O5,63.9443
P04,T5,O1,65.1471
P04,T5,O2,65.5023
P04,T5,O3,68.5069
P04,T5,O4,66.3886
P04,T5,O5,66.0385
P04,T6,O1,69.2974
P04,T6,O2,69.2197
P04,T6,O3,70.8985
P04,T6,O4,69.4584
P04,T6,O5,68.4704
P04,T7,O1,66.2019
P04,T7,O2,67.7623
P04,T7,O3,70.1922
P04,T7,O4,65.4181
P04,T7,O5,66.9176
P04,T8,O1,67.7785
P04,T8,O2,68.2018
P04,T8,O3,67.7915
P04,T8,O4,66.8852
P04,T8,O5,66.1226
P04,T9,O1,68.1671
P04,T9,O2,68.1295
P04,T9,O3,69.5258
P04,T9,O4,65.8809
P04,T9,O5,65.3141
P05,T1,O1,43.1158
P05,T1,O2,44.6077
P05,T1,O3,46.7385
P05,T1,O4,45.2088
P05,T1,O5,41.4018
P05,T2,O1,44.2558
P05,T2,O2,45.0575
P05,T2,O3,46.2727
P05,T2,O4,45.6269
P05,T2,O5,45.2229
P05,T3,O1,47.0075
P05,T3,O2,45.7544
P05,T3,O3,47.1142
P05,T3,O4,44.612
P05,T3,O5,45.996
P05,T4,O1,46.6073
P05,T4,O2,43.6152
P05,T4,O3,44.4366
P05,T4,O4,42.061
P05,T4,O5,43.0625
P05,T5,O1,45.3905
P05,T5,O2,43.1564
P05,T5,O3,46.6192
P05,T5,O4,44.8332
P05,T5,O5,43.2176
P05,T6,O1,49.7135
P05,T6,O2,48.571
P05,T6,O3,47.3169
P05,T6,O4,47.3669
P05,T6,O5,47.7883
P05,T7,O1,45.9672
P05,T7,O2,46.4079
P05,T7,O3,46.6035
P05,T7,O4,45.7716
P05,T7,O5,46.1364
P05,T8,O1,46.349
P05,T8,O2,44.6983
P05,T8,O3,47.418
P05,T8,O4,45.1736
P05,T8,O5,42.5962
P05,T9,O1,46.838
P05,T9,O2,48.0441
P05,T9,O3,49.0297
P05,T9,O4,44.9392
P05,T9,O5,45.646
P06,T1,O1,67.3331
P06,T1,O2,68.6993
P06,T1,O3,69.0723
P06,T1,O4,66.2341
P06,T1,O5,66.0198
P06,T2,O1,68.1031
P06,T2,O2,67.7518
P06,T2,O3,67.7971
P06,T2,O4,67.4661
P06,T2,O5,67.1494
P06,T3,O1,70.0481
P06,T3,O2,68.66
P06,T3,O3,71.9829
P06,T3,O4,69.1662
P06,T3,O5,66.6865
P06,T4,O1,70.6556
P06,T4,O2,67.7168
P06,T4,O3,68.8235
P06,T4,O4,69.0697
P06,T4,O5,66.7636
P06,T5,O1,70.2452
P06,T5,O2,69.0781
P06,T5,O3,69.1313
P06,T5,O4,70.0805
P06,T5,O5,69.6388
P06,T6,O1,70.8271
P06,T6,O2,72.0588
P06,T6,O3,73.1624
P06,T6,O4,72.7414
P06,T6,O5,71.996
P06,T7,O1,71.4392
P06,T7,O2,69.3871
P06,T7,O3,69.3701
P06,T7,O4,70.2367
P06,T7,O5,68.1336
P06,T8,O1,68.3885
P06,T8,O2,67.6493
P06,T8,O3,68.7561
P06,T8,O4,70.8687
P06,T8,O5,68.8229
P06,T9,O1,70.1592
P06,T9,O2,72.3531
P06,T9,O3,69.926
P06,T9,O4,71.8535
P06,T9,O5,67.6999
P07,T1,O1,54.4757
P07,T1,O2,55.7398
P07,T1,O3,54.5758
P07,T1,O4,53.6224
P07,T1,O5,52.7496
P07,T2,O1,55.0814
P07,T2,O2,54.4746
P07,T2,O3,55.5882
P07,T2,O4,53.6519
P07,T2,O5,53.9756
P07,T3,O1,57.7213
P07,T3,O2,55.9134
P07,T3,O3,56.8577
P07,T3,O4,56.2497
P07,T3,O5,55.1953
P07,T4,O1,56.0253
P07,T4,O2,57.0723
P07,T4,O3,55.6084
P07,T4,O4,53.8606
P07,T4,O5,52.8209
P07,T5,O1,56.8808
P07,T5,O2,56.6174
P07,T5,O3,55.9247
P07,T5,O4,57.6395
P07,T5,O5,56.2547
P07,T6,O1,60.5813
P07,T6,O2,57.7628
P07,T6,O3,59.9318
P07,T6,O4,57.4031
P07,T6,O5,55.9498
P07,T7,O1,59.6137
P07,T7,O2,59.373
P07,T7,O3,60.4387
P07,T7,O4,57.1213
P07,T7,O5,56.8873
P07,T8,O1,59.7545
P07,T8,O2,57.5168
P07,T8,O3,57.5681
P07,T8,O4,55.6261
P07,T8,O5,55.2961
P07,T9,O1,57.2845
P07,T9,O2,59.8243
P07,T9,O3,60.3304
P07,T9,O4,55.9607
P07,T9,O5,58.5322
P08,T1,O1,54.9615
P08,T1,O2,54.7492
P08,T1,O3,54.6286
P08,T1,O4,53.6429
P08,T1,O5,52.2038
P08,T2,O1,57.2075
P08,T2,O2,55.1103
P08,T2,O3,55.5132
P08,T2,O4,54.147
P08,T2,O5,54.7149
P08,T3,O1,57.8915
P08,T3,O2,57.0977
P08,T3,O3,56.8444
P08,T3,O4,56.1416
P08,T3,O5,53.7866
P08,T4,O1,57.0854
P08,T4,O2,55.5938
P08,T4,O3,56.3903
P08,T4,O4,52.9399
P08,T4,O5,55.7563
P08,T5,O1,57.4982
P08,T5,O2,56.3431
P08,T5,O3,56.8537
P08,T5,O4,55.958
P08,T5,O5,54.3946
P08,T6,O1,58.193
P08,T6,O2,57.4722
P08,T6,O3,61.2073
P08,T6,O4,58.7317
P08,T6,O5,58.0253
P08,T7,O1,58.7517
P08,T7,O2,55.7635
P08,T7,O3,59.6961
P08,T7,O4,55.2585
P08,T7,O5,56.4279
P08,T8,O1,57.9528
P08,T8,O2,54.9235
P08,T8,O3,58.5044
P08,T8,O4,55.8935
P08,T8,O5,56.0176
P08,T9,O1,57.8184
P08,T9,O2,55.1534
P08,T9,O3,59.6892
P08,T9,O4,56.4256
P08,T9,O5,56.8634
P09,T1,O1,24.7378
P09,T1,O2,24.6447
P09,T1,O3,26.2074
P09,T1,O4,24.9823
P09,T1,O5,22.9802
P09,T2,O1,26.611
P09,T2,O2,26.8892
P09,T2,O3,28.6432
P09,T2,O4,24.3007
P09,T2,O5,22.5339
P09,T3,O1,28.4896
P09,T3,O2,28.6701
P09,T3,O3,26.7589
P09,T3,O4,28.0673
P09,T3,O5,27.4562
P09,T4,O1,28.3586
P09,T4,O2,24.2367
P09,T4,O3,24.6806
P09,T4,O4,23.8746
P09,T4,O5,24.5216
P09,T5,O1,28.4957
P09,T5,O2,24.3096
P09,T5,O3,25.5218
