configuration,reasoning_part,n_patients,n_questions,sigma2_signal,g_coefficient,phi_coefficient,sem_rel,sem_abs,sdd_rel,sdd_abs
DRG_minus_Baseline,overall,480,15,513.041644,0.985342,0.983703,2.762625,2.915364,7.652471,8.075557
DRG_minus_Baseline,medication_selection,480,8,374.831201,0.978104,0.977353,2.896726,2.947147,8.023932,8.163596
DRG_minus_Baseline,follow_up_monitoring,480,3,268.566895,0.977023,0.967791,2.513152,2.989692,6.961432,8.281447
DRG_minus_Baseline,patient_education,480,4,344.261225,0.984552,0.977852,2.324096,2.792352,6.437746,7.734815
DRG,overall,480,15,404.472556,0.987148,0.98148,2.29476,2.762607,6.356485,7.65242
DRG,medication_selection,480,8,451.463598,0.989118,0.98468,2.228659,2.650322,6.173386,7.341391
DRG,follow_up_monitoring,480,3,269.67516,0.978804,0.968395,2.416593,2.966682,6.693962,8.217708
DRG,patient_education,480,4,354.151117,0.985337,0.978125,2.295718,2.814334,6.359139,7.795706
Baseline,overall,480,15,292.971946,0.990486,0.98869,1.677491,1.830679,4.646651,5.070981
Baseline,medication_selection,480,8,388.994533,0.98894,0.984789,2.085728,2.451242,5.777466,6.789941
Baseline,follow_up_monitoring,480,3,12.969861,0.969698,0.968424,0.636629,0.6503,1.763463,1.801331
Baseline,patient_education,480,4,5.495113,0.958475,0.956684,0.487927,0.498801,1.351559,1.381679
