question_id,reasoning_part,sigma2_patient,sigma2_order,sigma2_run,sigma2_residual,total_random_plus_residual,pct_patient,pct_order,pct_run,pct_residual
Q3.1,medication_selection,15.629922,0.135679,0.147148,181.480767,197.393515,7.9182,0.0687,0.0745,91.9386
Q3.2,medication_selection,33.430168,0.05163,0.001749,244.415579,277.899127,12.0296,0.0186,0.0006,87.9512
Q3.3,medication_selection,10.584982,0.646677,0.064169,203.505279,214.801106,4.9278,0.3011,0.0299,94.7413
Q3.4,medication_selection,8.228735,2.47518,2.515335,161.823471,175.042721,4.701,1.414,1.437,92.448
Q3.5,medication_selection,4.574207,8.219549,8.288602,148.305315,169.387672,2.7004,4.8525,4.8933,87.5538
Q3.6,medication_selection,8.237793,113.00852,112.944497,268.545539,502.736348,1.6386,22.4787,22.466,53.4168
Q3.7,medication_selection,8.515609,0.652696,0.666385,261.969729,271.804419,3.133,0.2401,0.2452,96.3817
Q3.8,medication_selection,14.981319,0.423626,0.416936,272.4288,288.250682,5.1973,0.147,0.1446,94.5111
Q4.1,follow_up_monitoring,2.038693,0.164417,0.003382,273.108137,275.314628,0.7405,0.0597,0.0012,99.1986
Q4.2,follow_up_monitoring,3.58578,0.427495,0.009428,272.836569,276.859271,1.2952,0.1544,0.0034,98.547
Q4.3,follow_up_monitoring,3.049793,9.762066,10.449891,235.888412,259.150161,1.1768,3.767,4.0324,91.0238
Q5.1,patient_education,2.819583,0.129832,0.035164,265.202774,268.187353,1.0513,0.0484,0.0131,98.8871
Q5.2,patient_education,2.186523,0.17551,0.088719,296.977376,299.428128,0.7302,0.0586,0.0296,99.1815
Q5.3,patient_education,3.700578,0.806517,0.04434,238.48705,243.038485,1.5226,0.3318,0.0182,98.1273
Q5.4,patient_education,2.375751,3.534204,3.641201,277.962349,287.513504,0.8263,1.2292,1.2664,96.678
