vignette_id,vignette_index,ckd_stage,hf,ascvd,masld,bmi_category,hba1c_band,complexity_band,trap_tag
T2D_V001,1,Stage 1-2 (60+),No,No,No,Normal (<23),5.5-6.5%,Easy,NON-TRAP
T2D_V002,2,Stage 1-2 (60+),No,No,No,Normal (<23),6.5-7.5%,Easy,NON-TRAP
T2D_V003,3,Stage 1-2 (60+),No,No,No,Normal (<23),7.5-9.0%,Easy,NON-TRAP
T2D_V004,4,Stage 1-2 (60+),No,No,No,Normal (<23),9.0-11.0%,Easy,NON-TRAP
T2D_V005,5,Stage 1-2 (60+),No,No,No,Overweight (23-27),5.5-6.5%,Easy,NON-TRAP
T2D_V006,6,Stage 1-2 (60+),No,No,No,Overweight (23-27),6.5-7.5%,Easy,NON-TRAP
T2D_V007,7,Stage 1-2 (60+),No,No,No,Overweight (23-27),7.5-9.0%,Easy,NON-TRAP
T2D_V008,8,Stage 1-2 (60+),No,No,No,Overweight (23-27),9.0-11.0%,Easy,NON-TRAP
T2D_V009,9,Stage 1-2 (60+),No,No,No,Obese (>27),5.5-6.5%,Easy,NON-TRAP
T2D_V010,10,Stage 1-2 (60+),No,No,No,Obese (>27),6.5-7.5%,Easy,TRAP
T2D_V011,11,Stage 1-2 (60+),No,No,No,Obese (>27),7.5-9.0%,Easy,NON-TRAP
T2D_V012,12,Stage 1-2 (60+),No,No,No,Obese (>27),9.0-11.0%,Easy,NON-TRAP
T2D_V013,13,Stage 1-2 (60+),No,No,Yes,Normal (<23),5.5-6.5%,Easy,NON-TRAP
T2D_V014,14,Stage 1-2 (60+),No,No,Yes,Normal (<23),6.5-7.5%,Easy,NON-TRAP
T2D_V015,15,Stage 1-2 (60+),No,No,Yes,Normal (<23),7.5-9.0%,Easy,NON-TRAP
T2D_V016,16,Stage 1-2 (60+),No,No,Yes,Normal (<23),9.0-11.0%,Easy,NON-TRAP
T2D_V017,17,Stage 1-2 (60+),No,No,Yes,Overweight (23-27),5.5-6.5%,Easy,NON-TRAP
T2D_V018,18,Stage 1-2 (60+),No,No,Yes,Overweight (23-27),6.5-7.5%,Easy,NON-TRAP
T2D_V019,19,Stage 1-2 (60+),No,No,Yes,Overweight (23-27),7.5-9.0%,Easy,NON-TRAP
T2D_V020,20,Stage 1-2 (60+),No,No,Yes,Overweight (23-27),9.0-11.0%,Easy,TRAP
T2D_V021,21,Stage 1-2 (60+),No,No,Yes,Obese (>27),5.5-6.5%,Easy,NON-TRAP
T2D_V022,22,Stage 1-2 (60+),No,No,Yes,Obese (>27),6.5-7.5%,Easy,NON-TRAP
T2D_V023,23,Stage 1-2 (60+),No,No,Yes,Obese (>27),7.5-9.0%,Easy,NON-TRAP
T2D_V024,24,Stage 1-2 (60+),No,No,Yes,Obese (>27),9.0-11.0%,Easy,NON-TRAP
T2D_V025,25,Stage 1-2 (60+),No,Yes,No,Normal (<23),5.5-6.5%,Easy,NON-TRAP
T2D_V026,26,Stage 1-2 (60+),No,Yes,No,Normal (<23),6.5-7.5%,Easy,NON-TRAP
T2D_V027,27,Stage 1-2 (60+),No,Yes,No,Normal (<23),7.5-9.0%,Easy,NON-TRAP
T2D_V028,28,Stage 1-2 (60+),No,Yes,No,Normal (<23),9.0-11.0%,Easy,NON-TRAP
T2D_V029,29,Stage 1-2 (60+),No,Yes,No,Overweight (23-27),5.5-6.5%,Easy,NON-TRAP
T2D_V030,30,Stage 1-2 (60+),No,Yes,No,Overweight (23-27),6.5-7.5%,Easy,TRAP
T2D_V031,31,Stage 1-2 (60+),No,Yes,No,Overweight (23-27),7.5-9.0%,Easy,NON-TRAP
T2D_V032,32,Stage 1-2 (60+),No,Yes,No,Overweight (23-27),9.0-11.0%,Easy,NON-TRAP
T2D_V033,33,Stage 1-2 (60+),No,Yes,No,Obese (>27),5.5-6.5%,Easy,NON-TRAP
T2D_V034,34,Stage 1-2 (60+),No,Yes,No,Obese (>27),6.5-7.5%,Easy,NON-TRAP
T2D_V035,35,Stage 1-2 (60+),No,Yes,No,Obese (>27),7.5-9.0%,Easy,NON-TRAP
T2D_V036,36,Stage 1-2 (60+),No,Yes,No,Obese (>27),9.0-11.0%,Easy,NON-TRAP
T2D_V037,37,Stage 1-2 (60+),No,Yes,Yes,Normal (<23),5.5-6.5%,Easy,NON-TRAP
T2D_V038,38,Stage 1-2 (60+),No,Yes,Yes,Normal (<23),6.5-7.5%,Easy,NON-TRAP
T2D_V039,39,Stage 1-2 (60+),No,Yes,Yes,Normal (<23),7.5-9.0%,Easy,NON-TRAP
T2D_V040,40,Stage 1-2 (60+),No,Yes,Yes,Normal (<23),9.0-11.0%,Easy,TRAP
T2D_V041,41,Stage 1-2 (60+),No,Yes,Yes,Overweight (23-27),5.5-6.5%,Easy,NON-TRAP
T2D_V042,42,Stage 1-2 (60+),No,Yes,Yes,Overweight (23-27),6.5-7.5%,Easy,NON-TRAP
T2D_V043,43,Stage 1-2 (60+),No,Yes,Yes,Overweight (23-27),7.5-9.0%,Easy,NON-TRAP
T2D_V044,44,Stage 1-2 (60+),No,Yes,Yes,Overweight (23-27),9.0-11.0%,Easy,NON-TRAP
T2D_V045,45,Stage 1-2 (60+),No,Yes,Yes,Obese (>27),5.5-6.5%,Easy,NON-TRAP
T2D_V046,46,Stage 1-2 (60+),No,Yes,Yes,Obese (>27),6.5-7.5%,Easy,NON-TRAP
T2D_V047,47,Stage 1-2 (60+),No,Yes,Yes,Obese (>27),7.5-9.0%,Easy,NON-TRAP
T2D_V048,48,Stage 1-2 (60+),No,Yes,Yes,Obese (>27),9.0-11.0%,Easy,NON-TRAP
T2D_V049,49,Stage 1-2 (60+),Yes,No,No,Normal (<23),5.5-6.5%,Easy,NON-TRAP
T2D_V050,50,Stage 1-2 (60+),Yes,No,No,Normal (<23),6.5-7.5%,Easy,TRAP
T2D_V051,51,Stage 1-2 (60+),Yes,No,No,Normal (<23),7.5-9.0%,Easy,NON-TRAP
T2D_V052,52,Stage 1-2 (60+),Yes,No,No,Normal (<23),9.0-11.0%,Easy,NON-TRAP
T2D_V053,53,Stage 1-2 (60+),Yes,No,No,Overweight (23-27),5.5-6.5%,Easy,NON-TRAP
